# Radici WordNet 3.0 per object_categories.json. Formato: lemma#senso<TAB>categorie<TAB>esclusioni (lemma#senso;...).
# Il senso e' scelto leggendo la definizione (generate_object_categories.py --explore <lemma>), mai a indovinare.
# La taglia (handheld, portable, heavy, fixed_in_place) si mette solo su radici strette: una radice larga non la sa.
seat#3	seat
chair#1	portable
sofa#1	lying_surface,heavy
bench#1	heavy
stool#1	raised_step,portable
bed#1	lying_surface,heavy
mattress#1	lying_surface,heavy
table#2	placing_surface,heavy
desk#1	placing_surface,heavy
shelf#1	placing_surface,fixed_in_place
counter#1	placing_surface,fixed_in_place
counter#4	placing_surface,container,heavy
box#1	container,openable,portable
locker#1	container,openable,fixed_in_place
bag#1	container,openable,portable
bag#4	container,openable,handheld
bag#6	container,openable,portable
basket#1	container,portable
jar#1	container,openable,handheld
vessel#3	container,portable
bottle#1	drinking_vessel,openable,handheld
drinking_vessel#1	drinking_vessel,handheld
glass#2	drinking_vessel,fragile,handheld
cup#1	drinking_vessel,handheld
door#1	passage
gate#1	passage
window#1	passage
clothing#1	handheld
garment#1	wearable_body
headdress#1	wearable_head
footwear#2	wearable_feet
hosiery#1	wearable_feet,handheld
glove#2	wearable_hands
jewelry#1	wearable_accessory,handheld
trouser#1	wearable_legs
weapon#1	weapon
sword#1	handheld
hand_tool#1	tool,handheld
kitchen_utensil#1	tool,handheld
home_appliance#1	device,heavy
telephone#1	device,handheld
computer#1	device,portable
lamp#1	switchable,portable
lamp#2	switchable,portable
food#2	food
edible_fruit#1	food,handheld
baked_goods#1	food,portable
beverage#1	drink
book#2	readable,handheld
publication#1	readable,handheld
letter#1	readable,handheld
footwear#2	handheld
building#1	place
room#1	place	locker#1
road#1	place
floor#1	placing_surface,lying_surface,fixed_in_place
wall#1	fixed_in_place
stairs#1	raised_step,fixed_in_place
ladder#1	raised_step,portable
carpet#1	placing_surface,lying_surface,heavy
curtain#1	openable,fixed_in_place
vehicle#1	vehicle
car#1	heavy
boat#1	heavy
aircraft#1	heavy
train#1	heavy
bicycle#1	portable
picture#1	portable
painting#1	portable
photograph#1	handheld
musical_instrument#1	portable
machine#1	device,heavy
tableware#1	handheld
cutlery#2	tool,handheld
crockery#1	handheld
bedclothes#1	handheld
cushion#3	handheld
towel#1	handheld
toiletry#1	handheld
remote_control#1	device,handheld
television_receiver#1	device,heavy
timepiece#1	device,portable
watch#1	wearable_accessory,handheld
umbrella#1	handheld
wallet#1	container,openable,handheld
mirror#1	fragile,portable
key#1	handheld
plaything#1	handheld
rope#1	handheld
cord#1	handheld
writing_implement#1	tool,handheld
paper#1	handheld
newspaper#1	readable,handheld
newspaper#3	readable,handheld
map#1	readable,handheld
coin#1	handheld
flower#2	handheld
rock#1	portable
stick#1	handheld
camera#1	device,handheld
radio#2	device,portable
tray#1	placing_surface,handheld
envelope#1	container,openable,handheld
lock#1	fixed_in_place
luggage#1	container,openable,portable
axe#1	tool,weapon,handheld
brush#2	tool,handheld
razor#1	tool,handheld
bandage#1	handheld
handkerchief#1	handheld
flag#1	handheld
tent#1	place,portable
cloth#1	handheld
sculpture#1	portable
pottery#1	fragile,handheld
bomb#1	weapon,portable
battery#2	handheld
pill#2	food,handheld
plate#4	placing_surface,handheld
fence#1	fixed_in_place
bell#1	handheld
# Correzioni portate qui dagli overrides del JSON il 2026-09-14 (tracker #74): ognuna e' un sottoalbero, non un nome.
armchair#1	heavy
chest#2	heavy
drawer#1	container,openable,fixed_in_place
headphone#1	wearable_head,device,handheld
ball#1	handheld
edge_tool#1	tool,handheld
knife#2	handheld
water#1	drink
water#6	drink
juice#1	drink
# #92: una cosa versata e' una macchia da pulire, non la bevanda (decisione A del 2026-09-15).
spill#1	mess,fixed_in_place
